pos,pal,ppc,pse,pcn,pes,pca,pm,pcs,Hwday,Lq,hackathons,csr,psp,cwl,slc,Ecd,cert,ws,tta,oly,rws,mcscore,Is,ica,JHS,company,ip,games,Books,SalaryExp,Realtionship,behaviour,mort,tyw,wrt,itr,jr
65,73,66,77,61,92,72,63,90,6,4,1,7,3,yes,yes,yes,python,data science,yes,yes,poor,excellent,Management,testing,higherstudies,Product based,no,yes,Dictionaries,Work,no,gentle,Management,salary,smart worker,yes,no,Solutions Architect
77,70,87,80,70,86,93,66,67,12,8,5,7,6,no,no,no,shell programming,data science,no,no,medium,excellent,Software Engineering,security,higherstudies,Product based,no,no,Horror,salary,no,stubborn,Management,salary,hard worker,no,no,Information Security Analyst
64,67,79,71,71,64,67,93,67,10,7,3,1,1,no,no,yes,machine learning,web technologies,no,yes,medium,medium,Software Engineering,cloud computing,higherstudies,Cloud Services,no,yes,Self help,salary,yes,gentle,Management,work,smart worker,no,yes,Network Security Engineer
67,86,84,70,76,61,66,70,81,11,1,5,2,8,no,yes,yes,information security,cloud computing,yes,no,excellent,excellent,programming,cloud computing,higherstudies,Service Based,yes,yes,Dictionaries,Work,no,gentle,Technical,salary,hard worker,no,no,Network Engineer
83,68,92,77,60,85,74,61,62,4,6,0,6,3,yes,no,no,shell programming,database security,no,no,medium,excellent,Software Engineering,security,job,Finance,yes,no,Trilogy,Work,no,stubborn,Technical,salary,hard worker,no,no,Technical Support
81,60,86,85,78,62,81,63,69,11,3,3,2,2,no,yes,yes,information security,game development,yes,yes,medium,excellent,Computer Architecture,security,job,Sales and Marketing,yes,yes,Encyclopedias,salary,no,gentle,Management,salary,smart worker,no,yes,Systems Analyst
88,76,66,84,61,65,61,70,78,11,7,6,3,5,no,yes,yes,r programming,data science,no,yes,medium,medium,IOT,security,job,Service Based,yes,yes,Self help,Work,yes,gentle,Technical,salary,smart worker,no,yes,Information Technology Auditor
72,76,78,91,72,62,64,62,62,12,7,0,4,3,yes,no,no,hadoop,system designing,no,no,medium,excellent,parallel computing,developer,higherstudies,Service Based,no,no,Diaries,salary,no,gentle,Management,salary,hard worker,no,yes,CRM Technical Developer
85,89,78,83,66,85,79,75,81,5,3,1,7,6,no,yes,no,python,cloud computing,yes,yes,poor,poor,Software Engineering,developer,job,Sales and Marketing,yes,yes,Horror,Work,yes,stubborn,Technical,work,hard worker,no,yes,Technical Services/Help Desk/Tech Support
90,80,80,62,81,68,60,64,69,5,9,3,1,9,yes,yes,yes,python,hacking,no,no,poor,poor,cloud computing,developer,higherstudies,SAaS services,no,yes,Biographies,salary,no,gentle,Technical,salary,hard worker,no,no,Software Quality Assurance (QA) / Testing
69,82,79,79,93,74,94,89,62,7,7,0,3,9,yes,no,yes,shell programming,system designing,no,no,excellent,excellent,cloud computing,Business process analyst,job,SAaS services,yes,no,Art,Work,no,stubborn,Management,work,hard worker,no,no,Business Systems Analyst
66,93,73,82,70,74,90,63,91,6,2,2,6,6,no,no,yes,r programming,data science,no,no,poor,medium,hacking,testing,job,BPA,no,yes,Fantasy,salary,no,gentle,Management,salary,hard worker,no,yes,Technical Engineer
87,69,65,79,72,66,64,60,66,11,7,4,3,5,no,yes,yes,hadoop,web technologies,no,yes,medium,excellent,Computer Architecture,system developer,job,SAaS services,no,no,Poetry,Work,yes,gentle,Technical,salary,hard worker,yes,yes,Technical Support
83,74,60,88,86,63,89,62,84,12,3,5,5,9,no,no,no,hadoop,database security,no,yes,medium,medium,Computer Architecture,cloud computing,job,Finance,no,no,Romance,Work,yes,gentle,Technical,work,smart worker,yes,no,Information Technology Auditor
60,82,79,84,80,81,73,90,82,5,9,2,6,6,yes,yes,no,information security,web technologies,no,yes,excellent,medium,parallel computing,system developer,job,Web Services,no,yes,Trilogy,Work,yes,gentle,Technical,work,hard worker,yes,yes,Network Security Administrator
71,93,70,64,69,60,73,94,80,7,1,6,6,8,no,yes,yes,hadoop,hacking,no,no,poor,excellent,networks,system developer,job,Service Based,yes,yes,Encyclopedias,salary,no,gentle,Management,salary,smart worker,yes,no,Information Technology Manager
89,92,74,87,67,63,92,70,70,7,4,0,3,1,no,no,no,shell programming,testing,yes,yes,excellent,medium,cloud computing,system developer,higherstudies,Cloud Services,no,no,Guide,salary,no,gentle,Management,work,hard worker,no,no,Web Developer
91,75,79,69,60,73,70,76,73,7,7,2,8,6,yes,yes,yes,r programming,web technologies,yes,yes,poor,excellent,networks,cloud computing,higherstudies,SAaS services,no,yes,Self help,salary,yes,gentle,Technical,salary,hard worker,no,no,Business Systems Analyst
61,65,75,88,72,60,68,76,62,9,6,0,2,1,no,no,no,distro making,game development,yes,no,excellent,poor,Management,Business process analyst,job,Sales and Marketing,yes,no,Mystery,Work,no,stubborn,Technical,work,smart worker,yes,no,Systems Analyst
83,68,60,88,81,62,67,63,76,7,5,2,5,4,yes,no,no,information security,database security,no,no,medium,excellent,hacking,system developer,job,Product based,yes,no,Horror,Work,no,gentle,Technical,work,smart worker,no,yes,Web Developer
93,87,78,88,73,68,94,76,81,7,7,0,8,8,yes,no,yes,machine learning,database security,yes,yes,poor,medium,Software Engineering,system developer,job,Finance,yes,no,Self help,salary,yes,gentle,Management,salary,smart worker,no,no,Solutions Architect
66,88,71,65,78,84,65,69,65,9,3,6,1,2,no,no,yes,information security,data science,no,no,medium,excellent,cloud computing,Business process analyst,job,Product based,no,no,Guide,Work,no,stubborn,Technical,salary,smart worker,no,yes,UX Designer
65,79,64,84,79,74,76,74,64,8,7,6,3,6,no,yes,yes,full stack,hacking,no,yes,excellent,medium,programming,developer,job,Web Services,no,no,Biographies,Work,no,stubborn,Technical,work,smart worker,yes,no,Network Engineer
83,84,82,60,88,93,92,85,84,6,2,3,9,1,yes,no,yes,information security,testing,yes,yes,excellent,poor,data engineering,Business process analyst,job,product development,yes,yes,Travel,salary,yes,stubborn,Technical,work,smart worker,no,no,Applications Developer
91,83,62,89,87,94,84,75,63,7,8,5,1,4,no,yes,yes,app development,cloud computing,yes,no,excellent,excellent,Management,security,higherstudies,Finance,no,no,Travel,Work,yes,gentle,Technical,salary,smart worker,no,no,Project Manager
84,67,93,64,76,62,81,74,94,12,3,1,8,1,no,no,no,machine learning,system designing,no,yes,medium,excellent,hacking,cloud computing,job,Web Services,yes,no,Drama,Work,yes,gentle,Management,work,hard worker,no,no,UX Designer
90,74,80,69,70,70,93,92,67,4,1,4,7,6,yes,yes,no,shell programming,data science,yes,no,medium,medium,data engineering,testing,higherstudies,Product based,yes,no,Guide,salary,no,stubborn,Technical,salary,hard worker,yes,no,Database Administrator
79,80,66,73,87,87,60,80,87,12,1,1,1,4,no,yes,yes,shell programming,web technologies,yes,no,excellent,excellent,programming,security,job,Cloud Services,no,no,Biographies,Work,yes,stubborn,Management,salary,smart worker,no,yes,Information Technology Auditor
82,79,76,70,66,65,89,73,64,10,2,0,1,4,yes,no,no,hadoop,testing,no,yes,poor,poor,networks,security,job,product development,yes,yes,Fantasy,Work,yes,gentle,Management,work,smart worker,yes,no,Database Developer
77,92,64,67,82,81,94,73,80,10,2,4,7,7,yes,yes,no,hadoop,database security,no,yes,poor,excellent,hacking,system developer,job,BPA,yes,yes,Romance,salary,yes,gentle,Technical,work,smart worker,yes,yes,Database Manager
94,85,68,74,60,72,67,78,88,12,7,1,9,3,no,yes,no,information security,system designing,no,no,medium,excellent,IOT,testing,higherstudies,Sales and Marketing,no,yes,Cookbooks,Work,no,stubborn,Technical,work,hard worker,no,yes,Software Systems Engineer
86,89,67,74,73,74,81,76,91,9,5,1,9,4,no,yes,no,app development,hacking,yes,no,medium,medium,Computer Architecture,developer,higherstudies,SAaS services,no,yes,Self help,salary,no,stubborn,Management,salary,hard worker,yes,yes,UX Designer
63,87,86,92,70,84,63,60,93,6,3,0,1,8,no,yes,no,shell programming,database security,yes,no,excellent,excellent,parallel computing,developer,job,Web Services,no,no,Mystery,salary,yes,stubborn,Management,salary,smart worker,no,no,Solutions Architect
74,76,75,91,76,72,93,84,83,12,1,5,9,4,yes,no,no,app development,game development,no,no,poor,medium,programming,cloud computing,job,Sales and Marketing,no,yes,Horror,salary,yes,stubborn,Management,salary,hard worker,yes,yes,Project Manager
65,68,73,70,79,80,92,79,89,10,2,1,6,1,yes,no,yes,machine learning,web technologies,yes,no,poor,excellent,parallel computing,Business process analyst,higherstudies,SAaS services,no,yes,Health,Work,no,gentle,Management,salary,smart worker,no,yes,Network Engineer
92,81,75,77,74,63,94,92,62,10,8,1,6,9,yes,yes,no,information security,hacking,yes,yes,excellent,excellent,cloud computing,security,higherstudies,Finance,yes,yes,Health,salary,yes,gentle,Technical,work,hard worker,no,no,E-Commerce Analyst
74,73,78,88,72,66,69,67,92,5,6,4,8,4,yes,yes,no,information security,database security,no,no,medium,poor,networks,testing,job,Sales and Marketing,yes,no,Anthology,Work,yes,stubborn,Management,work,smart worker,no,yes,Business Systems Analyst
85,88,64,78,82,71,65,76,66,5,8,1,7,9,no,yes,no,full stack,system designing,yes,yes,medium,medium,programming,system developer,job,Sales and Marketing,yes,yes,Childrens,salary,no,gentle,Management,salary,smart worker,no,no,E-Commerce Analyst
63,64,77,84,63,90,83,90,89,6,9,2,1,6,yes,yes,no,shell programming,system designing,yes,yes,poor,medium,IOT,Business process analyst,job,Finance,no,yes,Satire,salary,yes,stubborn,Technical,work,smart worker,no,no,Systems Security Administrator
61,69,65,64,91,82,86,66,68,6,2,0,4,3,no,no,no,app development,system designing,no,yes,medium,excellent,programming,testing,job,SAaS services,no,yes,Science,Work,yes,stubborn,Technical,salary,smart worker,yes,yes,Mobile Applications Developer
60,84,74,93,76,86,85,91,75,11,9,1,6,7,yes,no,yes,machine learning,cloud computing,yes,no,excellent,poor,networks,security,higherstudies,SAaS services,yes,yes,Guide,salary,no,gentle,Management,work,smart worker,no,yes,Business Systems Analyst
92,89,79,85,71,72,86,65,88,4,4,0,8,6,yes,no,yes,python,hacking,no,yes,poor,poor,data engineering,system developer,job,Cloud Services,no,yes,Horror,salary,yes,stubborn,Technical,salary,smart worker,no,no,Quality Assurance Associate
76,63,62,86,87,89,92,80,63,11,2,1,7,5,yes,yes,no,machine learning,cloud computing,yes,no,excellent,poor,Software Engineering,system developer,higherstudies,Finance,no,yes,Travel,salary,no,gentle,Management,salary,hard worker,yes,no,Technical Engineer
87,94,90,84,74,85,85,73,64,6,9,1,2,5,yes,yes,no,app development,hacking,no,yes,poor,excellent,parallel computing,developer,job,Web Services,yes,no,Horror,salary,no,gentle,Management,work,hard worker,yes,no,Data Architect
67,87,75,76,83,74,83,94,60,5,3,0,5,1,yes,no,no,hadoop,system designing,yes,yes,excellent,poor,data engineering,Business process analyst,job,Sales and Marketing,no,no,Dictionaries,Work,yes,stubborn,Technical,work,hard worker,yes,yes,Software Quality Assurance (QA) / Testing
69,88,82,76,65,85,81,84,76,4,2,5,8,3,no,no,no,r programming,data science,yes,yes,excellent,excellent,data engineering,cloud computing,higherstudies,Sales and Marketing,no,yes,Fantasy,salary,yes,stubborn,Management,work,smart worker,no,yes,CRM Technical Developer
72,63,80,65,89,92,74,68,67,7,3,5,4,9,yes,yes,no,hadoop,system designing,yes,no,excellent,poor,networks,testing,job,Product based,no,yes,Trilogy,salary,no,gentle,Management,salary,hard worker,no,yes,Database Developer
88,68,84,83,87,73,60,71,90,12,7,5,3,2,yes,no,no,hadoop,game development,no,yes,poor,poor,cloud computing,cloud computing,job,Cloud Services,no,no,Science,salary,yes,stubborn,Technical,work,hard worker,no,no,Information Security Analyst
60,93,83,82,85,93,84,83,65,4,2,5,5,1,no,yes,yes,information security,data science,yes,no,poor,medium,Software Engineering,Business process analyst,higherstudies,Testing and Maintainance Services,no,no,Childrens,Work,no,gentle,Technical,salary,hard worker,yes,no,Software Systems Engineer
66,77,78,79,85,80,92,68,73,7,8,6,2,8,yes,yes,no,distro making,hacking,yes,yes,excellent,excellent,programming,security,job,BPA,yes,yes,Anthology,Work,no,stubborn,Technical,work,hard worker,yes,no,Design & UX
64,63,84,93,92,77,82,84,84,11,6,0,6,1,yes,no,yes,full stack,data science,no,yes,medium,excellent,data engineering,Business process analyst,job,Finance,yes,no,Science,Work,yes,stubborn,Technical,work,smart worker,no,no,Database Developer
74,71,63,73,72,77,61,64,73,7,1,0,4,5,yes,yes,no,full stack,database security,no,yes,medium,poor,programming,developer,higherstudies,product development,no,no,Comics,Work,yes,gentle,Technical,work,hard worker,no,no,Systems Analyst
90,89,81,86,79,82,88,69,89,6,4,6,9,4,no,yes,yes,python,web technologies,yes,yes,medium,poor,hacking,developer,job,product development,yes,no,Religion-Spirituality,salary,no,stubborn,Technical,work,hard worker,no,no,Business Intelligence Analyst
62,71,78,87,74,93,77,62,82,6,9,3,1,6,yes,no,yes,shell programming,testing,no,no,medium,poor,parallel computing,security,job,Finance,no,no,Biographies,salary,no,stubborn,Management,work,hard worker,no,no,Software Engineer
60,80,88,88,76,83,70,77,67,4,5,2,8,9,no,no,no,hadoop,cloud computing,yes,no,poor,medium,parallel computing,testing,job,Service Based,yes,no,Mystery,salary,yes,gentle,Technical,salary,hard worker,no,yes,Network Security Administrator
92,75,74,64,91,89,60,84,74,10,8,3,1,1,no,no,yes,hadoop,system designing,no,yes,poor,medium,Computer Architecture,developer,job,Product based,yes,yes,Biographies,salary,no,gentle,Technical,salary,hard worker,no,no,UX Designer
77,82,77,68,70,61,89,87,89,8,4,4,1,8,no,no,yes,hadoop,game development,no,no,poor,excellent,cloud computing,Business process analyst,higherstudies,Web Services,yes,no,Encyclopedias,salary,no,stubborn,Management,salary,smart worker,yes,yes,Information Security Analyst
76,65,84,75,85,90,73,86,94,11,8,4,6,4,yes,no,no,distro making,testing,no,no,poor,medium,cloud computing,Business process analyst,job,SAaS services,yes,no,Horror,Work,yes,stubborn,Management,salary,hard worker,no,yes,Software Systems Engineer
71,75,76,77,71,82,65,78,93,8,3,6,6,5,no,yes,yes,full stack,game development,no,yes,excellent,poor,IOT,security,job,product development,no,yes,History,Work,no,stubborn,Management,work,hard worker,yes,no,Network Engineer
69,63,74,77,63,73,77,65,65,12,9,6,3,2,yes,yes,no,hadoop,system designing,no,no,poor,poor,programming,Business process analyst,higherstudies,Finance,yes,yes,Travel,Work,no,gentle,Management,salary,smart worker,no,yes,Network Security Administrator
64,80,69,60,92,67,84,78,76,12,7,4,3,7,no,yes,no,information security,web technologies,yes,no,excellent,medium,programming,developer,job,Testing and Maintainance Services,yes,no,Biographies,salary,no,gentle,Management,work,smart worker,no,no,Programmer Analyst
72,68,85,84,64,80,63,92,64,9,3,1,2,9,yes,no,no,full stack,system designing,yes,yes,excellent,medium,cloud computing,testing,job,Testing and Maintainance Services,no,yes,Satire,Work,no,gentle,Technical,work,hard worker,no,no,Information Technology Manager
91,78,84,65,69,90,75,82,85,7,7,3,9,7,no,no,no,app development,web technologies,no,no,excellent,poor,data engineering,Business process analyst,higherstudies,Web Services,no,no,Guide,salary,yes,stubborn,Management,salary,hard worker,no,no,Web Developer
62,88,76,82,90,87,78,68,89,11,8,1,4,2,no,yes,no,information security,data science,yes,yes,medium,medium,cloud computing,Business process analyst,higherstudies,Finance,yes,yes,Guide,salary,no,gentle,Management,work,smart worker,yes,yes,Web Developer
61,90,65,71,66,90,60,91,60,12,1,6,2,5,no,no,yes,full stack,system designing,no,no,medium,poor,Computer Architecture,Business process analyst,job,Testing and Maintainance Services,no,yes,Fantasy,Work,no,stubborn,Management,salary,hard worker,yes,yes,Portal Administrator
87,90,90,80,67,89,63,61,64,7,3,0,2,9,yes,no,yes,shell programming,data science,yes,no,excellent,medium,programming,security,job,Web Services,yes,yes,Mystery,Work,yes,gentle,Management,salary,hard worker,no,no,Solutions Architect
60,94,91,76,79,92,94,92,90,12,4,1,9,8,yes,yes,no,app development,game development,yes,no,poor,medium,programming,system developer,job,Testing and Maintainance Services,yes,no,Action and Adventure,salary,yes,stubborn,Management,work,smart worker,no,no,Portal Administrator
60,72,88,83,93,77,70,74,83,7,7,4,6,1,yes,no,yes,app development,data science,no,yes,medium,poor,IOT,developer,job,Finance,no,yes,History,salary,yes,stubborn,Technical,salary,hard worker,no,yes,Information Technology Manager
75,75,90,68,62,82,63,91,84,8,8,4,6,6,yes,no,yes,information security,data science,no,no,medium,poor,Software Engineering,system developer,job,product development,no,yes,Childrens,salary,no,stubborn,Technical,work,smart worker,yes,no,Database Administrator
66,89,91,69,79,73,83,69,77,5,3,4,5,2,no,no,no,machine learning,database security,yes,no,poor,excellent,IOT,system developer,job,Testing and Maintainance Services,no,yes,Travel,salary,no,stubborn,Technical,work,smart worker,yes,yes,Software Developer
64,91,60,68,91,84,79,91,83,11,1,1,8,3,no,yes,no,app development,hacking,yes,yes,poor,excellent,programming,Business process analyst,higherstudies,Sales and Marketing,yes,no,Health,salary,yes,gentle,Technical,work,hard worker,yes,no,Portal Administrator
80,63,78,78,71,64,64,83,93,9,2,6,3,5,no,no,yes,r programming,database security,yes,yes,excellent,poor,networks,testing,job,Testing and Maintainance Services,yes,yes,Guide,Work,no,gentle,Management,salary,smart worker,yes,yes,Applications Developer
66,67,94,93,62,62,87,67,69,7,1,0,4,7,no,no,yes,full stack,hacking,no,yes,excellent,poor,data engineering,security,job,SAaS services,yes,yes,Health,salary,yes,stubborn,Technical,work,hard worker,no,no,Design & UX
85,81,85,88,64,76,88,82,65,8,2,6,6,3,yes,no,yes,r programming,system designing,yes,no,excellent,medium,parallel computing,security,higherstudies,Cloud Services,yes,no,Science,salary,no,gentle,Management,salary,smart worker,no,no,Network Security Engineer
84,92,64,76,86,63,68,64,81,5,7,0,4,3,yes,yes,no,information security,system designing,no,yes,poor,poor,programming,testing,job,Sales and Marketing,no,no,Travel,salary,no,gentle,Technical,salary,smart worker,no,yes,Solutions Architect
74,80,83,79,89,79,71,75,60,5,8,1,8,3,yes,no,yes,app development,cloud computing,yes,no,poor,excellent,cloud computing,system developer,job,Testing and Maintainance Services,yes,no,Mystery,Work,no,gentle,Management,work,smart worker,no,no,Systems Analyst
61,74,93,84,79,66,80,93,94,4,9,5,8,4,yes,yes,yes,full stack,hacking,yes,no,poor,medium,parallel computing,security,higherstudies,Product based,no,yes,Self help,salary,yes,gentle,Technical,salary,hard worker,yes,yes,UX Designer
64,81,78,92,72,82,70,92,83,4,5,5,6,4,no,no,yes,machine learning,system designing,no,yes,excellent,medium,cloud computing,Business process analyst,job,SAaS services,yes,no,Satire,Work,no,stubborn,Technical,salary,hard worker,no,yes,CRM Technical Developer
79,70,91,84,66,67,69,78,91,9,8,3,9,8,no,yes,no,python,hacking,no,yes,medium,medium,cloud computing,testing,higherstudies,Finance,no,no,History,Work,yes,gentle,Management,salary,smart worker,no,no,Technical Support
85,92,61,93,74,91,68,70,91,11,1,0,7,1,yes,yes,yes,shell programming,cloud computing,no,no,medium,poor,programming,system developer,job,Testing and Maintainance Services,no,yes,Autobiographies,Work,no,stubborn,Technical,salary,hard worker,yes,yes,Information Technology Manager
94,69,81,79,90,78,88,74,86,8,2,1,7,5,yes,no,no,distro making,hacking,yes,no,excellent,medium,programming,developer,higherstudies,BPA,no,yes,Series,Work,no,stubborn,Technical,salary,smart worker,yes,yes,Systems Security Administrator
88,67,68,72,73,68,87,79,73,12,4,2,2,1,yes,yes,yes,app development,database security,yes,no,poor,poor,Management,developer,job,Web Services,yes,no,Series,Work,yes,stubborn,Management,salary,hard worker,yes,no,Data Architect
90,87,73,76,64,83,69,92,61,12,7,0,4,3,no,no,yes,hadoop,hacking,no,yes,medium,medium,hacking,testing,higherstudies,Testing and Maintainance Services,no,no,Drama,Work,yes,gentle,Technical,work,hard worker,no,no,Business Intelligence Analyst
76,81,77,82,79,85,92,84,73,8,9,6,8,5,no,yes,no,python,web technologies,yes,yes,poor,poor,parallel computing,developer,higherstudies,Web Services,no,yes,Biographies,salary,no,gentle,Technical,salary,smart worker,yes,no,UX Designer
73,69,78,75,90,65,86,75,93,11,4,0,3,5,no,yes,yes,machine learning,system designing,no,no,excellent,medium,Computer Architecture,security,job,Product based,no,yes,Horror,Work,no,gentle,Technical,salary,hard worker,no,yes,Portal Administrator
92,68,75,66,79,88,92,72,69,12,8,5,4,3,no,yes,yes,distro making,testing,no,yes,poor,poor,hacking,testing,job,BPA,no,yes,Childrens,Work,yes,stubborn,Technical,work,smart worker,no,yes,Database Administrator
88,62,78,61,69,62,86,65,75,7,4,2,2,9,yes,yes,yes,shell programming,web technologies,yes,no,poor,poor,data engineering,testing,job,Service Based,no,no,Romance,salary,no,stubborn,Technical,salary,hard worker,no,yes,Network Security Engineer
69,72,80,78,92,91,76,74,77,7,2,0,3,4,no,yes,no,distro making,game development,yes,no,excellent,medium,Software Engineering,system developer,higherstudies,BPA,no,yes,Health,Work,no,stubborn,Technical,work,hard worker,yes,no,Applications Developer
84,65,76,72,91,91,61,92,67,6,8,5,5,2,no,no,yes,full stack,game development,yes,no,medium,excellent,hacking,testing,higherstudies,Product based,no,no,Encyclopedias,salary,yes,stubborn,Technical,salary,hard worker,yes,no,Software Quality Assurance (QA) / Testing
89,80,70,60,60,72,88,63,87,11,9,0,9,9,no,yes,no,distro making,database security,no,no,poor,excellent,hacking,cloud computing,higherstudies,Product based,yes,no,Fantasy,salary,no,gentle,Management,work,smart worker,no,yes,Database Manager
89,65,86,78,70,70,65,89,70,9,7,1,7,6,no,no,yes,full stack,database security,yes,no,medium,medium,IOT,Business process analyst,job,Cloud Services,no,no,Fantasy,Work,no,stubborn,Technical,work,smart worker,yes,no,Portal Administrator
67,63,70,78,80,64,94,73,81,10,8,4,1,4,yes,yes,yes,information security,game development,yes,yes,excellent,poor,programming,developer,job,BPA,yes,yes,Self help,salary,yes,stubborn,Technical,work,smart worker,yes,yes,Software Developer
91,87,73,64,65,66,74,80,91,4,6,6,6,2,no,yes,no,app development,game development,yes,no,excellent,poor,parallel computing,testing,job,Testing and Maintainance Services,yes,yes,Prayer books,salary,no,gentle,Technical,salary,hard worker,no,yes,CRM Business Analyst
94,67,72,81,90,93,93,84,88,8,9,6,5,9,no,no,yes,distro making,web technologies,no,no,excellent,excellent,Software Engineering,Business process analyst,higherstudies,Finance,no,no,Guide,salary,yes,stubborn,Management,work,hard worker,no,yes,Database Developer
80,66,67,62,89,91,87,90,62,10,8,2,5,5,yes,yes,yes,full stack,testing,yes,yes,excellent,poor,Software Engineering,security,job,Testing and Maintainance Services,no,yes,Cookbooks,Work,no,stubborn,Management,salary,smart worker,yes,no,Software Quality Assurance (QA) / Testing
72,72,67,80,68,72,87,65,84,5,2,6,6,9,yes,yes,no,full stack,database security,no,yes,medium,excellent,Management,testing,higherstudies,Cloud Services,no,yes,Science,salary,yes,stubborn,Technical,work,hard worker,yes,yes,Software Quality Assurance (QA) / Testing
65,82,71,92,69,71,68,74,88,7,1,6,2,3,yes,yes,yes,full stack,database security,yes,no,excellent,poor,hacking,Business process analyst,higherstudies,Service Based,yes,yes,Health,salary,no,stubborn,Technical,work,smart worker,yes,yes,UX Designer
79,68,69,70,91,91,77,80,90,8,4,4,4,8,yes,yes,no,information security,testing,yes,no,excellent,poor,parallel computing,developer,higherstudies,Service Based,yes,yes,Anthology,salary,yes,gentle,Management,salary,smart worker,yes,no,Network Security Administrator
91,65,84,76,81,77,75,94,70,7,1,3,4,5,yes,yes,yes,full stack,cloud computing,no,yes,poor,medium,networks,security,higherstudies,Finance,no,no,Trilogy,Work,yes,stubborn,Management,work,smart worker,yes,no,Business Systems Analyst
81,66,79,77,90,64,87,85,94,12,7,5,1,4,yes,yes,no,information security,testing,yes,no,excellent,poor,parallel computing,Business process analyst,higherstudies,Testing and Maintainance Services,no,no,Diaries,salary,no,stubborn,Technical,salary,smart worker,yes,yes,CRM Technical Developer
86,65,85,61,79,75,69,90,89,9,3,0,7,9,yes,no,yes,app development,data science,no,yes,poor,poor,data engineering,developer,job,Web Services,no,no,Self help,salary,no,gentle,Management,work,smart worker,no,no,Project Manager
91,80,79,78,82,71,89,62,63,9,7,3,8,7,no,yes,no,full stack,game development,yes,yes,medium,excellent,Software Engineering,testing,job,Product based,yes,no,Mystery,salary,no,gentle,Technical,work,hard worker,no,yes,Technical Support
60,81,64,73,74,86,86,85,60,11,7,4,1,1,no,no,yes,python,web technologies,no,yes,medium,medium,hacking,cloud computing,higherstudies,product development,yes,yes,Horror,salary,yes,gentle,Technical,salary,smart worker,no,no,Systems Security Administrator
80,90,86,64,71,70,89,84,81,10,1,3,5,7,no,yes,no,information security,cloud computing,no,no,poor,poor,Computer Architecture,system developer,job,BPA,no,no,Horror,salary,yes,gentle,Technical,work,hard worker,no,no,UX Designer
89,63,83,87,69,71,74,82,61,4,6,6,8,4,no,yes,no,shell programming,web technologies,yes,no,medium,poor,programming,system developer,job,Cloud Services,yes,yes,Autobiographies,Work,yes,stubborn,Management,work,hard worker,yes,no,Programmer Analyst
92,72,79,83,79,88,76,78,67,9,5,1,8,5,yes,no,no,hadoop,data science,no,no,medium,excellent,data engineering,system developer,job,Sales and Marketing,yes,yes,Autobiographies,Work,no,gentle,Technical,work,smart worker,no,no,Network Security Engineer
64,61,68,85,69,83,76,86,77,8,9,3,6,7,no,yes,yes,r programming,data science,yes,no,medium,medium,Software Engineering,security,job,product development,no,no,Trilogy,salary,no,gentle,Management,salary,hard worker,no,yes,Database Manager
91,69,88,78,77,86,71,72,69,8,4,5,8,3,no,no,yes,machine learning,data science,yes,yes,medium,poor,IOT,testing,higherstudies,BPA,yes,no,Health,salary,no,gentle,Management,work,hard worker,yes,no,Web Developer
67,93,75,85,94,92,87,67,74,6,6,0,2,2,yes,yes,no,r programming,hacking,no,yes,medium,excellent,networks,cloud computing,higherstudies,BPA,yes,yes,Art,Work,yes,gentle,Management,work,hard worker,yes,yes,Programmer Analyst
66,77,87,65,87,71,66,68,83,10,7,3,5,7,yes,yes,yes,distro making,data science,yes,yes,poor,excellent,cloud computing,security,job,Cloud Services,no,yes,Journals,salary,no,gentle,Management,salary,hard worker,no,yes,Applications Developer
80,78,60,91,80,75,80,63,69,7,7,0,3,1,no,yes,yes,app development,database security,no,no,excellent,excellent,hacking,developer,higherstudies,Service Based,yes,no,Journals,salary,yes,stubborn,Technical,salary,hard worker,yes,yes,Business Systems Analyst
94,90,69,64,67,86,94,72,84,4,7,2,9,7,yes,yes,yes,r programming,system designing,no,yes,excellent,poor,hacking,developer,higherstudies,Sales and Marketing,yes,no,Mystery,Work,no,stubborn,Technical,work,hard worker,no,yes,Business Intelligence Analyst
76,85,85,91,79,74,84,73,85,5,9,6,6,8,no,no,no,app development,data science,yes,yes,poor,excellent,parallel computing,cloud computing,higherstudies,BPA,no,yes,Comics,salary,no,gentle,Management,work,smart worker,yes,no,Software Developer
77,73,82,70,78,73,76,87,74,9,7,5,5,6,no,yes,no,shell programming,game development,yes,yes,medium,poor,parallel computing,security,higherstudies,SAaS services,yes,yes,Dictionaries,Work,no,gentle,Technical,salary,smart worker,no,yes,Network Engineer
89,78,75,62,86,76,93,82,70,10,8,1,9,4,no,yes,no,app development,web technologies,no,yes,excellent,excellent,parallel computing,cloud computing,job,Sales and Marketing,yes,yes,Journals,Work,no,gentle,Management,salary,smart worker,yes,yes,Information Technology Manager
93,89,80,80,86,94,66,65,77,8,8,6,3,6,no,yes,no,full stack,web technologies,no,yes,poor,poor,hacking,system developer,higherstudies,Web Services,yes,no,Journals,Work,yes,gentle,Technical,work,hard worker,yes,yes,Technical Engineer
93,60,82,77,79,74,73,64,84,4,4,1,9,6,yes,yes,yes,information security,hacking,no,no,excellent,poor,data engineering,security,job,Finance,no,no,Anthology,salary,no,gentle,Technical,salary,hard worker,no,no,Web Developer
